"date","tests_rate","tests_rate_lower","tests_rate_upper","tests_rate_daily","tests_rate_daily_lower","tests_rate_daily_upper","cases_rate","cases_rate_lower","cases_rate_upper","cases_rate_daily","cases_rate_daily_lower","cases_rate_daily_upper","mort","icu","hosp","cases","cases_week_avg","positives","tests","people_vaccinated","people_fully_vaccinated","total_vaccinations","total_distributed"
2022-01-06,0.393946435833382,0.389724820387691,0.398168051279072,0.393162393162393,0.36019536019536,0.426129426129426,0.365887263443692,0.361632289176156,0.370142237711229,0.371681415929204,0.337547408343869,0.405815423514539,18,75,578,294,2579.71428571429,322,819,2860216,2470666,6003460,6698330
2022-01-07,0.394161196635721,0.390232847046183,0.398089546225259,0.357085257679056,0.349021332746866,0.365149182611246,0.366465951582606,0.362516019170339,0.37043343925004,0.328329631615226,0.320287968139695,0.336371295090756,13,78,642,4287,2982.14285714286,4871,13641,2860580,2470699,6003746,6698330
2022-01-08,0.391025540027415,0.387228410720194,0.394822669334636,0.352844187963726,0.339447650453421,0.366240725474031,0.363916134553354,0.360098084392074,0.367750641827398,0.32618025751073,0.312660944206009,0.339699570815451,21,83,650,1520,3159,1712,4852,2865536,2473419,6026976,6743470
2022-01-09,0.391551171862611,0.387745393422346,0.395356950302877,0.296109510086455,0.272334293948127,0.320605187319885,0.364293051459624,0.360449319062925,0.368136783856324,0.265413533834586,0.242105263157895,0.289473684210526,25,101,664,353,3141.14285714286,411,1388,2868056,2475243,6040779,6743470
2022-01-10,0.376428629326416,0.372602739726027,0.380254518926806,0.350206543833191,0.342666054684939,0.357812602452298,0.351217784374578,0.347372149507489,0.355063419241668,0.324609827574456,0.31704491242418,0.332174742724733,10,104,717,4763,2974.71428571429,5341,15251,2870821,2476523,6052411,6743470
2022-01-11,0.361424630047655,0.357578797759385,0.365270462335925,0.358275058275058,0.35003885003885,0.366588966588967,0.337990569962557,0.334124947996117,0.341856191928997,0.334059022738268,0.325753910659571,0.342364134816965,25,112,773,4143,2785.42857142857,4611,12870,2872191,2477125,6057408,6769770
2022-01-12,0.351803432555645,0.347982032716546,0.355641592920354,0.332157216706326,0.323787642569952,0.340526790842701,0.32928669291202,0.325453946341548,0.333119439482493,0.308261091279959,0.299932007479177,0.316590175080741,19,117,810,3627,2712.42857142857,4048,12187,2875767,2479875,6077000,6795770
2022-01-13,0.348103931564347,0.344545626189128,0.351662236939567,0.328196347031963,0.319254185692542,0.337233637747336,0.326071289150476,0.322512837452329,0.329629740848623,0.299821534800714,0.290898274836407,0.308744794765021,25,130,817,3024,3102.42857142857,3450,10512,2880370,2482541,6097470,6834370
2022-01-14,0.331700313776567,0.328148126221064,0.33525250133207,0.264404557003524,0.256618309974592,0.272272764527498,0.308963744050443,0.305428444621294,0.312514347806125,0.235063496122049,0.227392823659763,0.242734168584335,26,135,866,2758,2884,3226,12201,2884155,2485220,6115814,6854370
2022-01-15,0.327349035890849,0.323794303466611,0.330903768315087,0.282694541231127,0.269221835075494,0.29616724738676,0.304237667815044,0.300699840875033,0.307790943780995,0.24920982251398,0.236080719669341,0.262582056892779,32,129,868,1025,2813.28571428571,1217,4305,2888769,2487400,6133897,6869670
