"date","tests_rate","tests_rate_lower","tests_rate_upper","tests_rate_daily","tests_rate_daily_lower","tests_rate_daily_upper","cases_rate","cases_rate_lower","cases_rate_upper","cases_rate_daily","cases_rate_daily_lower","cases_rate_daily_upper","mort","icu","hosp","cases","cases_week_avg","positives","tests","people_vaccinated","people_fully_vaccinated","total_vaccinations","total_distributed"
2021-12-22,0.184138226321517,0.181872513513996,0.186412859258202,0.216015352407537,0.211270062805304,0.22079553384508,0.180262780526278,0.178013192801319,0.182521330752133,0.204411868847815,0.199702570639473,0.209121167056157,1,9,89,5773,2873.28571428571,6191,28660,2816183,2445315,5815076,6277990
2021-12-23,0.196037396003088,0.193764473797067,0.198318895274037,0.213291678500426,0.207800814162643,0.218829877875604,0.190147051200083,0.187892035734651,0.192410706571512,0.197411628356191,0.192003090593008,0.202868456635117,4,11,111,4088,3144,4506,21126,2821540,2448200,5837118,6294610
2021-12-24,0.207488037608081,0.205062913320462,0.209922489296807,0.211209355390759,0.201654306902453,0.220764403879064,0.199920901720388,0.197519703946439,0.202331515956195,0.194670937682003,0.185352358765288,0.204135119394292,1,8,129,1337,3033,1481,7012,2821540,2448200,5837118,6294610
2021-12-25,0.212481691144452,0.20995803808242,0.215005344206484,0.348246674727932,0.315598548972189,0.380894800483676,0.204411161879243,0.20191163678901,0.206910686969476,0.337837837837838,0.305896805896806,0.371007371007371,1,10,124,275,2920.71428571429,288,827,2821540,2448200,5837118,6294610
2021-12-26,0.214110055283401,0.211591807826241,0.216638139644691,0.239931448157669,0.222793487574979,0.257497857754927,0.205979108898099,0.203484500631106,0.208483655843446,0.226341037941561,0.209332751853467,0.24378543392935,1,12,139,519,2960.71428571429,560,2334,2821540,2448200,5837118,6294610
2021-12-27,0.236552977907758,0.233934711299055,0.23917124451646,0.308002222839678,0.301843104566083,0.314161341113272,0.226084953376802,0.223490880682672,0.228679026070931,0.285912262257479,0.27979546975055,0.292029054764408,3,14,193,5983,3224.71428571429,6651,21594,2822213,2448240,5838024,6287720
2021-12-28,0.262035650550758,0.259276732784968,0.264794568316547,0.331084879145587,0.324492820276969,0.337676938014206,0.249371459569984,0.246638221517469,0.252115129828808,0.311740890688259,0.305168515694831,0.318313265681687,2,24,223,5929,3414.85714285714,6479,19569,2833167,2454310,5883954,6287720
2021-12-29,0.290091942078749,0.287110036822012,0.293085142431156,0.330969517358171,0.324248518204911,0.337690516511431,0.274095376690574,0.271127126572191,0.277063626808958,0.30702187140273,0.300334374828701,0.313709367976758,5,34,276,5601,3390.28571428571,6254,18896,2833494,2454330,5884326,6394650
2021-12-30,0.31299057616605,0.309853274484075,0.316127877848026,0.317167299157394,0.309834694796424,0.324499903518364,0.294621970188739,0.291498769091332,0.297745171286146,0.293538297730751,0.286284687562388,0.300858454781394,7,39,317,4411,3436.42857142857,4931,15547,2840638,2459031,5916216,6436400
2021-12-31,0.320151777812799,0.316975596746233,0.323340081707864,0.304291287386216,0.292030466282742,0.31655210848969,0.301340509293866,0.298163651766582,0.304517366821149,0.281879194630872,0.269798657718121,0.294151486097795,5,49,363,1470,3455.42857142857,1638,5383,2840638,2459031,5916216,6436400
